Name,Roll No,Course,Year,Section,Allocated Block / Classroom
Diya Rana,AU001,BFA (Fine Arts),1st Year,A,Learning Centre 1 - A
Varun Pandey,AU002,BA LL.B,2nd Year,A,Kalataranga - A
Meera Iyer,AU003,BA LL.B,3rd Year,C,Kalataranga - C
Nisha Pillai,AU004,BA LL.B,4th Year,A,Alliance School of Applied Engineering - A
Ishita Kumar,AU005,BBA LL.B,2nd Year,B,Alliance School of Law - B
Sneha Iyer,AU006,M.Tech,4th Year,B,Alliance School of Applied Engineering - B
Ishita Nair,AU007,BA LL.B,2nd Year,A,Alliance School of Applied Engineering - A
Aarav Das,AU008,B.Tech,1st Year,B,Kalataranga - B
Amit Das,AU009,B.Tech,1st Year,B,Learning Centre 1 - B
Kavya Verma,AU010,LL.M,4th Year,C,Learning Centre 2 - C
Harsh Pandey,AU011,BBA,2nd Year,C,Alliance School of Applied Engineering - C
Amit Reddy,AU012,BFA (Fine Arts),2nd Year,B,Learning Centre 1 - B
Neha Mehta,AU013,BBA LL.B,4th Year,C,Learning Centre 2 - C
Priya Kumar,AU014,M.Tech,3rd Year,C,Learning Centre 2 - C
Amit Pillai,AU015,BA LL.B,3rd Year,C,Alliance School of Law - C
Nisha Rana,AU016,BFA (Fine Arts),4th Year,A,Learning Centre 1 - A
Kavya Mishra,AU017,BBA,2nd Year,A,Learning Centre 1 - A
Meera Sharma,AU018,BBA,3rd Year,B,Learning Centre 2 - B
Sneha Rana,AU019,BBA LL.B,4th Year,A,Learning Centre 2 - A
Amit Pandey,AU020,BFA (Fine Arts),3rd Year,A,Alliance School of Applied Engineering - A
Aarav Joshi,AU021,BA LL.B,4th Year,B,Learning Centre 2 - B
Tanya Chowdhury,AU022,LL.M,4th Year,A,Learning Centre 1 - A
Raj Patel,AU023,M.Tech,1st Year,A,Learning Centre 2 - A
Tanya Das,AU024,MBA,4th Year,B,Learning Centre 1 - B
Sneha Singh,AU025,MBA,1st Year,C,Learning Centre 2 - C
Aditya Naidu,AU026,BA LL.B,1st Year,B,Learning Centre 2 - B
Aditya Singh,AU027,M.Tech,4th Year,C,Kalataranga - C
Sneha Gupta,AU028,MBA,2nd Year,C,Learning Centre 2 - C
Aarav Das,AU029,BFA (Fine Arts),1st Year,B,Alliance School of Applied Engineering - B
Neha Naidu,AU030,BFA (Fine Arts),1st Year,B,Learning Centre 2 - B
Aarav Patel,AU031,BBA,1st Year,C,Alliance School of Law - C
Sneha Mishra,AU032,BBA,1st Year,B,Learning Centre 1 - B
Varun Verma,AU033,M.Tech,2nd Year,B,Alliance School of Law - B
Varun Chowdhury,AU034,BA (Liberal Arts),3rd Year,B,Learning Centre 1 - B
Ishita Mishra,AU035,LL.M,3rd Year,C,Alliance School of Applied Engineering - C
Diya Mishra,AU036,LL.M,3rd Year,B,Kalataranga - B
Sneha Reddy,AU037,BA (Liberal Arts),1st Year,C,Alliance School of Law - C
Neha Mehta,AU038,BBA,1st Year,A,Alliance School of Law - A
Sneha Das,AU039,BA (Liberal Arts),3rd Year,B,Learning Centre 1 - B
Vikram Joshi,AU040,BBA,3rd Year,A,Alliance School of Law - A
Priya Chowdhury,AU041,MBA,2nd Year,B,Alliance School of Law - B
Raj Bose,AU042,MBA,1st Year,A,Kalataranga - A
Raj Rana,AU043,BBA,1st Year,B,Learning Centre 2 - B
Sneha Joshi,AU044,B.Tech,1st Year,C,Kalataranga - C
Rohan Mehta,AU045,LL.M,3rd Year,A,Learning Centre 1 - A
Neha Sharma,AU046,BFA (Fine Arts),1st Year,A,Alliance School of Law - A
Meera Sharma,AU047,BBA,1st Year,B,Alliance School of Law - B
Varun Pillai,AU048,MBA,1st Year,A,Alliance School of Law - A
Aarav Chowdhury,AU049,BBA LL.B,1st Year,A,Learning Centre 1 - A
Kavya Verma,AU050,BA (Liberal Arts),4th Year,C,Alliance School of Applied Engineering - C
Arjun Bose,AU051,LL.M,2nd Year,B,Alliance School of Law - B
Ishita Iyer,AU052,BFA (Fine Arts),2nd Year,B,Alliance School of Law - B
Sneha Singh,AU053,BA LL.B,3rd Year,A,Kalataranga - A
Varun Rana,AU054,BBA,3rd Year,B,Learning Centre 2 - B
Arjun Chowdhury,AU055,BFA (Fine Arts),2nd Year,B,Learning Centre 2 - B
Sneha Nair,AU056,BFA (Fine Arts),2nd Year,A,Kalataranga - A
Neha Mehta,AU057,BFA (Fine Arts),1st Year,B,Alliance School of Applied Engineering - B
Neha Reddy,AU058,BA (Liberal Arts),4th Year,C,Alliance School of Law - C
Aditya Nair,AU059,BBA LL.B,4th Year,A,Learning Centre 2 - A
Ishita Chowdhury,AU060,BBA,4th Year,C,Kalataranga - C
Harsh Pandey,AU061,B.Tech,2nd Year,A,Learning Centre 1 - A
Meera Patel,AU062,BA LL.B,4th Year,B,Learning Centre 2 - B
Arjun Mehta,AU063,BBA,1st Year,A,Alliance School of Law - A
Kavya Sharma,AU064,BBA LL.B,1st Year,A,Learning Centre 2 - A
Kunal Iyer,AU065,BBA LL.B,2nd Year,C,Alliance School of Applied Engineering - C
Amit Naidu,AU066,M.Tech,4th Year,C,Learning Centre 2 - C
Sanya Patel,AU067,BBA LL.B,2nd Year,C,Alliance School of Applied Engineering - C
Vikram Kumar,AU068,BFA (Fine Arts),4th Year,A,Alliance School of Law - A
Varun Patel,AU069,BBA LL.B,3rd Year,B,Alliance School of Applied Engineering - B
Aarav Chowdhury,AU070,BA LL.B,1st Year,C,Learning Centre 2 - C
Sneha Reddy,AU071,BFA (Fine Arts),2nd Year,C,Kalataranga - C
Neha Mehta,AU072,BA LL.B,2nd Year,A,Learning Centre 2 - A
Ishita Nair,AU073,BA (Liberal Arts),1st Year,B,Alliance School of Law - B
Sneha Pillai,AU074,B.Tech,3rd Year,B,Alliance School of Law - B
Arjun Chowdhury,AU075,MBA,1st Year,C,Learning Centre 1 - C
Kavya Singh,AU076,LL.M,4th Year,C,Learning Centre 2 - C
Diya Kumar,AU077,B.Tech,1st Year,A,Alliance School of Applied Engineering - A
Meera Verma,AU078,BA LL.B,4th Year,B,Learning Centre 2 - B
Meera Das,AU079,MBA,3rd Year,A,Alliance School of Law - A
Kavya Naidu,AU080,BFA (Fine Arts),1st Year,C,Learning Centre 2 - C
Kunal Singh,AU081,B.Tech,4th Year,C,Learning Centre 2 - C
Raj Iyer,AU082,BA (Liberal Arts),4th Year,B,Alliance School of Applied Engineering - B
Tanya Mishra,AU083,M.Tech,4th Year,C,Learning Centre 2 - C
Meera Mehta,AU084,BA LL.B,1st Year,B,Alliance School of Applied Engineering - B
Aditya Mehta,AU085,BA LL.B,4th Year,B,Learning Centre 1 - B
Kavya Kumar,AU086,BA (Liberal Arts),4th Year,B,Alliance School of Applied Engineering - B
Kunal Das,AU087,B.Tech,2nd Year,C,Alliance School of Law - C
Vikram Singh,AU088,BBA,1st Year,B,Learning Centre 1 - B
Harsh Chowdhury,AU089,BBA LL.B,4th Year,A,Learning Centre 2 - A
Tanya Mishra,AU090,LL.M,2nd Year,B,Kalataranga - B
Ishita Joshi,AU091,MBA,1st Year,C,Learning Centre 2 - C
Vikram Mishra,AU092,M.Tech,2nd Year,B,Alliance School of Law - B
Rohan Patel,AU093,M.Tech,2nd Year,C,Alliance School of Applied Engineering - C
Ishita Iyer,AU094,B.Tech,3rd Year,A,Alliance School of Applied Engineering - A
Diya Chowdhury,AU095,BA (Liberal Arts),1st Year,A,Alliance School of Applied Engineering - A
Harsh Reddy,AU096,BA (Liberal Arts),4th Year,B,Alliance School of Law - B
Amit Mishra,AU097,BBA,4th Year,C,Kalataranga - C
Kunal Kumar,AU098,MBA,3rd Year,C,Learning Centre 2 - C
Ishita Rana,AU099,BBA,4th Year,C,Kalataranga - C
Nisha Sharma,AU100,BBA,1st Year,A,Learning Centre 1 - A
